chain,load_all_partitions,ds,run_id,complete_at
ethereum,FALSE,7/5/2023,scheduled__2023-07-05T08:30:00+00:00,7/6/2023 9:21:33
ethereum,FALSE,7/6/2023,scheduled__2023-07-06T08:30:00+00:00,7/7/2023 8:51:42
ethereum,FALSE,7/7/2023,scheduled__2023-07-07T08:30:00+00:00,7/8/2023 9:02:07
ethereum,FALSE,7/8/2023,scheduled__2023-07-08T08:30:00+00:00,7/9/2023 8:46:17
ethereum,FALSE,7/9/2023,scheduled__2023-07-09T08:30:00+00:00,7/10/2023 8:46:19
ethereum,FALSE,7/10/2023,scheduled__2023-07-10T08:30:00+00:00,7/11/2023 8:56:30
ethereum,FALSE,7/11/2023,scheduled__2023-07-11T08:30:00+00:00,7/12/2023 8:51:13
ethereum,FALSE,7/12/2023,scheduled__2023-07-12T08:30:00+00:00,7/13/2023 8:46:12
ethereum,FALSE,7/13/2023,scheduled__2023-07-13T08:30:00+00:00,7/14/2023 9:01:51
ethereum,FALSE,7/14/2023,scheduled__2023-07-14T08:30:00+00:00,7/16/2023 10:05:00
ethereum,FALSE,7/15/2023,scheduled__2023-07-15T08:30:00+00:00,7/16/2023 10:25:03
ethereum,FALSE,7/16/2023,scheduled__2023-07-16T08:30:00+00:00,7/17/2023 9:02:13
ethereum,FALSE,7/17/2023,scheduled__2023-07-17T08:30:00+00:00,7/18/2023 8:46:25
ethereum,FALSE,7/18/2023,scheduled__2023-07-18T08:30:00+00:00,7/19/2023 8:46:28
ethereum,FALSE,7/19/2023,scheduled__2023-07-19T08:30:00+00:00,7/20/2023 8:46:12
ethereum,FALSE,7/20/2023,scheduled__2023-07-20T08:30:00+00:00,7/21/2023 8:51:31
ethereum,FALSE,7/21/2023,scheduled__2023-07-21T08:30:00+00:00,7/22/2023 9:01:55
ethereum,FALSE,7/22/2023,scheduled__2023-07-22T08:30:00+00:00,7/23/2023 8:46:17
ethereum,FALSE,7/23/2023,scheduled__2023-07-23T08:30:00+00:00,7/24/2023 8:46:24
ethereum,FALSE,7/24/2023,scheduled__2023-07-24T08:30:00+00:00,7/25/2023 8:46:22
ethereum,FALSE,7/25/2023,scheduled__2023-07-25T08:30:00+00:00,7/26/2023 8:47:14
ethereum,FALSE,7/26/2023,scheduled__2023-07-26T08:30:00+00:00,7/27/2023 8:46:20
ethereum,FALSE,7/27/2023,scheduled__2023-07-27T08:30:00+00:00,7/28/2023 8:46:43
ethereum,FALSE,7/28/2023,scheduled__2023-07-28T08:30:00+00:00,7/29/2023 9:01:13
ethereum,FALSE,7/29/2023,scheduled__2023-07-29T08:30:00+00:00,7/30/2023 9:02:18
ethereum,FALSE,7/30/2023,scheduled__2023-07-30T08:30:00+00:00,7/31/2023 8:46:39
ethereum,FALSE,7/31/2023,scheduled__2023-07-31T08:30:00+00:00,8/1/2023 8:46:36
ethereum,FALSE,8/1/2023,scheduled__2023-08-01T08:30:00+00:00,8/2/2023 8:51:40
ethereum,FALSE,8/2/2023,scheduled__2023-08-02T08:30:00+00:00,8/3/2023 8:51:36
ethereum,FALSE,8/3/2023,scheduled__2023-08-03T08:30:00+00:00,8/4/2023 8:51:26
ethereum,FALSE,8/4/2023,scheduled__2023-08-04T08:30:00+00:00,8/5/2023 8:51:41
ethereum,FALSE,8/5/2023,scheduled__2023-08-05T08:30:00+00:00,8/6/2023 8:46:38
ethereum,FALSE,8/6/2023,scheduled__2023-08-06T08:30:00+00:00,8/7/2023 8:45:53
ethereum,FALSE,8/7/2023,scheduled__2023-08-07T08:30:00+00:00,8/8/2023 8:46:30
