transaction_hash,transaction_index,from_address,to_address,value,input,output,trace_type,call_type,reward_type,gas,gas_used,subtraces,trace_address,error,status,block_timestamp,block_number,block_hash,trace_id
0x326d51cac9007465def0d950ff94c0627b8851ad501e746ff263845684c24965,31,0xcea123529777d05cb6be0ff09bdd780bca8c0808,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,0,0,0",,1,1/16/2020 23:43:18,9295253,0x0208df929a438d6f0cdc04912f88ca8bce02a52f95a30d5704f4393fb24b8c20,suicide_0x326d51cac9007465def0d950ff94c0627b8851ad501e746ff263845684c24965_0_0_0_0
0xef3e7bea3274b91fa12c4fe6f94099fd503d5a902fbb84b97330aec15f9f3d09,55,0x75a513bef1256dd353c7c4951f5f83fc54231bb5,0x0000000000c90bc353314b6911180ed7e06019a9,0,,,suicide,,,,,0,"7,0",,1,1/16/2020 15:53:48,9293106,0xdb51ff4e9c0de77e3c5c320f306206a83e720e8e2b76d6f4bdb19658ef61fdb7,suicide_0xef3e7bea3274b91fa12c4fe6f94099fd503d5a902fbb84b97330aec15f9f3d09_7_0
0x4f2afc67995e43104e8731d0ca596bc95ad8428ddb674652f1641e509f8099ea,63,0xfc135da9bd35537cd018edbc39ffe0ec0bb422b5,0x8018280076d7fa2caa1147e441352e8a89e1ddbe,0,,,suicide,,,,,0,"7,0",,1,1/16/2020 1:03:06,9289094,0x04d26c1d36df5981513a50494de00a07e1051c2a6a59d0999a2107b029314e57,suicide_0x4f2afc67995e43104e8731d0ca596bc95ad8428ddb674652f1641e509f8099ea_7_0
0xceadcfce2098093f226c82512505d97ee98cd26ee2541c362058506e2b49fe38,10,0xc396a55b0aa645410aaa28cc93ca4bcde35f49ee,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"8,0,16,0",,1,1/16/2020 21:45:54,9294702,0x5eb8fe91257eff5e7aa76f880f0898da7590d379e23c41428608bca5a5584d87,suicide_0xceadcfce2098093f226c82512505d97ee98cd26ee2541c362058506e2b49fe38_8_0_16_0
0xde09c97f24b6b7caa1a7e974d0a8684d1d5d4187709d51decd3c783bcf9e8a4c,24,0x22578dccb79a51f60596988efd715e6babb56c78,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"2,42,0",,1,1/16/2020 14:24:06,9292726,0xae5c6b0724ee68f7b64987410188ff47ff71f599a5c640fc1c4a4b234723915b,suicide_0xde09c97f24b6b7caa1a7e974d0a8684d1d5d4187709d51decd3c783bcf9e8a4c_2_42_0
0x537ab1403d1e9e115f4c351333b173309a74b8e9cb19fed7162882f25a675a02,19,0x9ba3de4c4533c5b8c83f1f1bb35500523919c0b7,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"6,0,20,0",,1,1/16/2020 18:28:38,9293814,0x5bf299a0ca953557ee412161f4f20903140dde07e700998d04b1f2f822e29d00,suicide_0x537ab1403d1e9e115f4c351333b173309a74b8e9cb19fed7162882f25a675a02_6_0_20_0
0xef0d3b4f33f89a53892a2976005702e4a502af2f1af708153cf6c97e8482a33a,8,0x618f12de610eddf8db9fdce6eeee88a8fa7ec786,0x8018280076d7fa2caa1147e441352e8a89e1ddbe,0,,,suicide,,,,,0,"7,0",,1,1/16/2020 12:01:56,9292106,0x91f55f1308af6b02a1994d09d66b5bc91db593680d8525b59239d70fc4cf3c1a,suicide_0xef0d3b4f33f89a53892a2976005702e4a502af2f1af708153cf6c97e8482a33a_7_0
0x0d5e9d19427945cba2983edce2ff028cce00b61103753865aa78570fb1061e48,63,0xfffed14ef184d9bb4d84f1c020f7c9e707f3f215,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,0,2,0",,1,1/16/2020 0:20:21,9288889,0x81409ffd2f508561f863978034b02373cbd748d245f504d89b35fcfa79c7c4ae,suicide_0x0d5e9d19427945cba2983edce2ff028cce00b61103753865aa78570fb1061e48_0_0_2_0
0x569146f3871bb3507627f07f3696ac9e92e2c71703b80f8b73c6993ad550e7bb,29,0x00a86613a1e01a1f0c5224c4bceb50f055a5e922,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,0,3,0",,1,1/16/2020 17:12:06,9293489,0xc5d75ed8e3f37bf03d6ebbf195bb32ed31b8f3bcbacc9806c75df025965b161e,suicide_0x569146f3871bb3507627f07f3696ac9e92e2c71703b80f8b73c6993ad550e7bb_0_0_3_0
0xdf485023f00b4240b4d72415f5026ad55946839cb5e218fa6430630c3b9d1de7,12,0xe029b63ff0f613cd3578f36277b1f9d5794c93a5,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,0,1,0",,1,1/16/2020 17:57:47,9293679,0x6b487fa3edb9024735b95a10bc6e788334212090e9eb45be6b779f50863d77ed,suicide_0xdf485023f00b4240b4d72415f5026ad55946839cb5e218fa6430630c3b9d1de7_0_0_1_0
